物品名称,英文ID,类别,等级,合成设备,原料需求,消耗时常/秒,合成数量,描述,次要描述,副产物
酮化灌木粉末,Aketine Powder,AIC Products,2,粉碎机,酮化灌木*1,2,2,酮化灌木粉末，可用于其他材料合成。,在经过粉碎处理后，酮化灌木的成分提取过程将更加便利。,
砂叶粉末,Sandleaf Powder,AIC Products,2,粉碎机,砂叶*1,2,3,砂叶粉末，可用于其他材料合成。,在经过粉碎处理后，砂叶中粗粝的部分得到了充分利用。,
锦草粉末,Jincao Powder,Usable Items,2,粉碎机,锦草*1,2,2,使用后可以回复干员生命值的战术物品。,在经过粉碎处理后，锦草粉末需要溶解并灌装后才能使用。,
芽针粉末,Yazhen Powder,Usable Items,2,粉碎机,芽针*1,2,2,使用后可以回复干员生命值的战术物品。,在经过粉碎处理后，芽针粉末需要溶解并灌装后才能使用。,
铁制零件,Ferrium Part,AIC Products,2,配件机,蓝铁块*1,2,1,蓝铁经加工后成型的零件，可用于其他材料合成或设备制造。,具备一定通用性的铁制零件。,
紫晶零件,Amethyst Part,AIC Products,2,配件机,紫晶纤维*1,2,1,具备一定通用性的紫晶零件。,具备一定通用性的紫晶零件。,
钢制零件,Steel Part,AIC Products,3,配件机,钢块*1,2,1,钢块经加工后成型的零件，可用于其他材料合成或设备制造。,具备一定通用性的铁制零件。,
高晶零件,Cryston Part,AIC Products,3,配件机,高晶纤维*1,2,1,高晶纤维经加工后成型的零件，可用于其他材料合成或设备制造。,具备一定通用性的高晶零件。,
赤铜零件,Cuprium Part,AIC Products,3,配件机,赤铜块*1,2,1,赤铜块经加工后成型的零件，可用于其他材料合成或设备制造。,具备一定通用性的赤铜零件。,
赫铜零件,Hetonite Part,AIC Products,3,配件机,赫铜块*5,10,1,,具备一定通用性的赫铜零件。,
蓝铁瓶,Ferrium Bottle,AIC Products,2,塑形机,蓝铁块*2,2,1,由蓝铁块加工后得来的金属瓶，可用于其他材料合成。,市面上较为少见的铁瓶，即便与异铁极度近似的蓝铁具备较强的抗氧化性，但人们依旧喜爱使用钢制容器。,
紫晶质瓶,Amethyst Bottle,AIC Products,2,塑形机,紫晶纤维*2,2,1,由紫晶纤维加工得来的瓶子，可用于其他材料合成。,出于本身的脆性、重量、侵蚀耐受程度等方面的缺陷，紫晶质瓶在文明环带市场中已逐渐被淘汰。,
钢质瓶,Steel Bottle,AIC Products,3,塑形机,钢块*2,2,1,由钢块加工后得来的金属瓶，可用于其他材料合成。,市面上最为常见的钢瓶。,
高晶质瓶,Cryston Bottle,AIC Products,3,塑形机,高晶纤维*2,2,1,由高晶纤维加工后得来的金属瓶，可用于其他材料合成。,部分特殊化学试剂仅能以高晶质瓶储存，其中就包括凶名显赫的“蚀水”——域化三氯化铁溶液。,
赤铜瓶,Cuprium Bottle,AIC Products,3,塑形机,赤铜块*2,2,1,由赤铜块加工后得来的金属瓶，可用于其他材料合成。常用于液体盛装。,市面上不算常见的铜瓶。较之蓝铁，赤铜价格通常更高。,
赫铜瓶,Hetonite Bottle,AIC Products,3,塑形机,赫铜块*2,2,1,由赫铜块加工后得来的金属瓶，可用于其他材料合成。,市面上不太常见的金属瓶。赫铜拥有着吸引人目光的色彩，哪怕只是加工成瓶子，都能激发人们的收藏欲。,
荞花种子,Buckflower seed,AIC Products,1,采种机,荞花*1,2,2,荞花的种子，可用于培育荞花。,荞花最初被发现于一处天然石拱下，因此也曾被称作“桥花”。,
柑实种子,Citrome seed,AIC Products,1,采种机,柑实*1,2,2,柑实的种子，可用于培育柑实。,文明环带的植物爱好者曾评选出“荒野上最常见的植物”，荞花、柑实位处排行榜前十。,
酮化树种,Aketine seed,AIC Products,1,采种机,酮化灌木*1,2,2,酮化灌木的种子，可用于培育酮化灌木。,大部分学者认为，酮化灌木中之所以能提取到硝化物，是因为它吸收了过量含有侵蚀物质的雨水。,
砂叶种子,Sandleaf seed,AIC Products,1,采种机,砂叶*1,2,2,砂叶的种子，可用于培育砂叶。,“荒地手工业”的发展历史最早可以追溯到近百年前。为了活下来，流落在荒地上的人类必须用尽一切手段。,
锦草种子,Jincao seed,AIC Products,1,采种机,锦草*1,2,2,锦草的种子，通过采种获得，可辅以大量清水培育锦草。,开拓区的幼童们大多喜欢将锦草的叶片折叠起来放在唇边，不起眼的草叶能演奏出兽吼般的声响。,
芽针种子,Yazhen seed,AIC Products,1,采种机,芽针*1,2,2,芽针的种子，通过采种获得，可辅以大量清水培育芽针。,芽针会利用自己的“尖刺”，将种子挂在周边小型动物身上传播到远处。,
荞花,Buckflower,AIC Products,1,种植机,荞花种子*1,2,1,可在野外采集或在工厂培育出的艳丽花朵，粉碎后可用于药品或其他材料合成。,战争初期，一支宏山侦察队首先发现了这种色彩艳丽的植物，并在紧急状况下将其作为止血药物使用。,
柑实,Citrome,AIC Products,1,种植机,柑实种子*1,2,1,可在野外采集或在工厂培育出的果实，粉碎后可用于食品或其他材料合成。,塔卫二的柑橘属植物主要起源于大陆中部地区，传播至文明环带的品种大多具有果实大，果肉韧性高等特点。,
酮化灌木,Aketine,AIC Products,1,种植机,酮化树种*1,2,1,可在野外采集或在工厂培育出的植物，内含易燃易爆成分，常用于制造工业爆炸物。,酮化灌木是塔卫二的本土植物，它往往生长于土壤成分较为特殊的环境中。,
砂叶,Sandleaf,AIC Products,1,种植机,砂叶种子*1,2,1,可在野外采集或在工厂培育出的叶片粗粝的植物，粉碎后可用于精细研磨。,众生长地是“荒地手工业”领域中的翘楚，他们善于使用各种天然材料在艰苦环境中生存。,
锦草,Jincao,AIC Products,1,种植机,锦草种子*1+清水*1,2,2,可在野外采集或在工厂培育出的植物，粉碎后可用于食品或其他材料合成。,锦草又称锦星草，因其春夏之际星星点点长于山阴处而获此名。,
芽针,Yazhen,AIC Products,1,种植机,芽针种子*1+清水*1,2,2,可在野外采集或在工厂培育出的花朵，粉碎后可用于药品或其他材料合成。,芽针是武陵生存能力最强的草本植物，会在盛夏时节开放出极其绚丽的花朵。,
紫晶装备原件,Amethyst Component,AIC Products,2,装备原件机,晶体外壳*5+紫晶纤维*5,10,1,通过多种材料加工获得的装备原件，可用于装备制造。,该原件全称为生物式核心适应型一次性协议铸造原件，主体材料为紫晶。,
蓝铁装备原件,Ferrium Component,AIC Products,2,装备原件机,晶体外壳*10+蓝铁块*10,10,1,通过多种材料加工获得的装备原件，可用于装备制造。,该原件全称为生物式核心适应型一次性协议铸造原件，主体材料为蓝铁，相较低级版本提高了脱模便利性。,
高晶装备原件,Cryston Component,AIC Products,3,装备原件机,密制晶体*10+高晶纤维*10,10,1,通过多种材料加工获得的装备原件，可用于装备制造。,该原件全称为生物式核心适应型一次性协议铸造原件，主体材料为高晶，操作起来更加便利。,
息壤装备原件,Xiranite Component,AIC Products,4,装备原件机,密制晶体*10+息壤*10,10,1,通过多种材料加工获得的装备原件，可用于装备制造。,该原件全称为生物式核心适应型一次性高透明息壤铸造原件，主体材料为密制晶体及息壤。相较寻常版本，拥有更优良的信息传导性能。,
赤铜装备原件,Cuprium Component,AIC Products,4,装备原件机,赤铜零件*10+息壤*10,10,1,通过多种材料加工获得的装备原件，可用于装备制造。,该原件全称为生物式核心适应型一次性息壤铸造原件，主体材料为赤铜。,
赫铜装备原件,Hetonite Component,AIC Products,4,装备原件机,赫铜零件*2+重息壤*10,10,1,通过多种材料加工获得的装备原件，可用于装备制造。,该原件全称为生物式核心适应型一次性息壤铸造原件，主体材料为赫铜，相较低级版本具备了更高的息壤容量。,
柑实罐头,Canned Citrome (C),Usable Items,3,灌装机,紫晶质瓶*5+柑实粉末*5,10,1,使用后可以回复干员生命值的战术物品。,平价的柑实罐头，是居于荒地的人们最易保存的维生素补充品。,
优质柑实罐头,Canned Citrome (B),Usable Items,3,灌装机,蓝铁瓶*10+柑实粉末*10,10,1,使用后可以回复干员生命值的战术物品。,革新了包装工艺的柑实罐头，最近因含糖量过高而受到文明环带市场的抵制。,
精选柑实罐头,Canned Citrome (A),Usable Items,4,灌装机,钢质瓶*10+细磨柑实粉末*10,10,1,使用后可以回复干员生命值的战术物品。,以天然、健康及种植环境为卖点的柑实罐头，内部添加了微量综合维生素，建议零售价格稍显虚高,
荞愈胶囊,Buck Capsule (C),Usable Items,3,灌装机,紫晶质瓶*5+荞花粉末*5,10,1,使用后可以回复干员生命值的战术物品。,制作手段简单的胶囊，外出颠簸中或许会撒漏药粉导致药效降低。,
优质荞愈胶囊,Buck Capsule (B),Usable Items,3,灌装机,蓝铁瓶*10+荞花粉末*10,10,1,使用后可以回复干员生命值的战术物品。,标准封装的胶囊，终末地工业曾为它进行过广告宣传，但可惜的是，其销量远不及罗德岛的同类产品。,
精选荞愈胶囊,Buck Capsule (A),Usable Items,4,灌装机,钢质瓶*10+细磨荞花粉末*10,10,1,使用后可以回复干员生命值的战术物品。,优化了封装工艺的胶囊，终末地工业兼顾了本产品在各种作战条件下的使用便利性。,
蓝铁瓶（清水）,Ferrium Bottle（Clean Water）,AIC Products,2,灌装机,蓝铁瓶*1+清水*1,2,1,盛装了清水的蓝铁瓶。,-,
蓝铁瓶（锦草溶液）,Ferrium Bottle（Jincao Solution）,AIC Products,2,灌装机,蓝铁瓶*1+锦草溶液*1,2,1,盛装了锦草溶液的蓝铁瓶。,-,
蓝铁瓶（芽针溶液）,Ferrium Bottle（Yazhen Solution）,AIC Products,2,灌装机,蓝铁瓶*1+芽针溶液*1,2,1,盛装了芽针溶液的蓝铁瓶。,-,
蓝铁瓶（液化息壤）,Ferrium Bottle（Liquid Xiranite）,AIC Products,2,灌装机,蓝铁瓶*1+液化息壤*1,2,1,盛装了液化息壤的蓝铁瓶。,-,
赤铜瓶（锦草溶液）,Cuprium Bottle（Jincao Solution）,AIC Products,2,灌装机,赤铜瓶*1+锦草溶液*1,2,1,盛装了锦草溶液的赤铜瓶。,-,
赤铜瓶（芽针溶液）,Cuprium Bottle（Yazhen Solution）,AIC Products,3,灌装机,赤铜瓶*1+芽针溶液*1,2,1,盛装了芽针溶液的赤铜瓶。,-,
工业爆炸物,Industrial Explosive,AIC Products,3,封装机,紫晶零件*5+酮化灌木粉末*1,10,1,可直接使用进行攻击，爆炸时对周围所有敌人造成伤害。,该物品爆炸风险较高，请谨慎携带及使用。,
低容谷底电池,LC Valley Battery,AIC Products,3,封装机,紫晶零件*5+源石粉末*10,10,1,通过设备封装获得的电池，可用于发电、设备充能或与据点进行交易。,该产品外壳破碎导致内容物泄露会威胁到人体健康，请谨慎使用。,
中容谷底电池,SC Valley Battery,AIC Products,3,封装机,铁制零件*10+源石粉末*15,10,1,通过设备封装获得的电池，可用于发电、设备充能或与据点进行交易。,“能工巧匠”在必要时能够将中容电池改造为爆破性武器。,
高容谷底电池,HC Valley Battery,AIC Products,4,封装机,钢制零件*10+致密源石粉末*15,10,1,通过设备封装获得的电池，可用于发电、设备充能或与据点进行交易。,回收废弃电池是许多荒地居民的主业。,
芽针针剂,Yazhen Syringe (C),Usable Items,3,封装机,铁制零件*10+蓝铁瓶（芽针溶液）*5,10,1,使用后可以回复干员生命值的战术物品。,本针剂仅可使用皮下注射。,
优质芽针针剂,Yazhen Syringe (A),Usable Items,4,封装机,赤铜零件*10+赤铜瓶（芽针溶液）*5,10,1,使用后可以回复干员生命值的战术物品。,"终末地工业曾试图研发一种""协议注射""技术，但该页目最终遭到了废止。他们尚未拥有推开那扇大门的勇气。",
锦草软饮,Jincao Drink,Usable Items,3,封装机,铁制零件*10+蓝铁瓶（锦草溶液）*5,10,1,使用后可以回复干员生命值的战术物品。,仅含少量锦草提取物的碳酸饮料，因其清香的气味而备受欢迎。,
优质锦草软饮,Jincao Tea,Usable Items,4,封装机,赤铜零件*10+赤铜瓶（锦草溶液）*5,10,1,使用后可以回复干员生命值的战术物品。,以锦草为原料制作的碳酸饮料，其调制过程颇合药理之道。,
低容武陵电池,LC Wuling Battery,AIC Products,4,封装机,息壤*5+致密源石粉末*15,10,1,通过设备封装获得的电池，可用于发电、设备充能或与据点进行交易。,“息壤供能”是武陵与终末地工业重要的合作项目之一。,
中容武陵电池,SC Wuling Battery,AIC Products,4,封装机,壤晶*5+致密源石粉末*20,10,1,通过设备封装获得的电池，可用于发电、设备充能或与据点进行交易。,这类电池最大的优势是杜绝了自燃的可能。,
致密蓝铁粉末,Dense Ferrium Powder,AIC Products,3,研磨机,蓝铁粉末*2+砂叶粉末*1,2,1,蓝铁粉末研磨后的细粉，可用于其他材料合成。,在协议技术介入下，经过精细研磨后，致密蓝铁粉末广受绘画爱好者欢迎。,
高晶粉末,Cryston Powder,AIC Products,3,研磨机,紫晶粉末*2+砂叶粉末*1,2,1,紫晶粉末研磨后的细粉，可用于其他材料合成。,在协议技术介入下，经过精细研磨后，未妥善保存的高晶粉末会在非密封容器中“流动”。,
致密源石粉末,Dense Originium Powder,AIC Products,3,研磨机,源石粉末*2+砂叶粉末*1,2,1,源矿粉末研磨后的细粉，状态稳定，可用于其他材料合成。,工团在源石培植项目初期尝试过“粉末培植法”，然而由此培育出的晶簇会快速失去活性。,
致密碳粉末,Dense Carbon Powder,AIC Products,3,研磨机,碳粉末*2+砂叶粉末*1,2,1,碳粉末研磨后的细粉，可用于其他材料合成。,在协议技术介入下，经过精细研磨后，碳粉已拥有了独特的细腻质地。,
致密晶体粉末,Dense Origocrust Powder,AIC Products,3,研磨机,晶体外壳粉末*2+砂叶粉末*1,2,1,晶体外壳粉末研磨后的细粉，可用于其他材料合成。,在协议技术介入下，经过精细研磨后，致密晶体粉末中的颗粒将通透细腻至几乎不可见的地步。,
细磨荞花粉末,Ground Buckflower Powder,AIC Products,3,研磨机,荞花粉末*2+砂叶粉末*1,2,1,荞花粉末研磨后的细粉，可用于其他材料合成。,在协议技术介入下，经过精细研磨后，荞花提取物表现出了“异常”活性。,
细磨柑实粉末,Ground Citrome Powder,AIC Products,3,研磨机,柑实粉末*2+砂叶粉末*1,2,1,柑实粉末研磨后的细粉，可用于其他材料合成。,在协议技术介入下，经过精细研磨后，细磨柑实粉末的味道极度苦涩。,
锦草溶液,Jincao Solution,AIC Products,3,反应池,锦草粉末*1+清水*1,2,1,锦草的溶液，经过后续加工合成后，可制成药剂以供使用。,为完美发挥锦草提取物药物作用而特殊配制的溶液。,
芽针溶液,Yazhen Solution,AIC Products,3,反应池,芽针粉末*1+清水*1,2,1,芽针的溶液，经过后续加工合成后，可制成药剂以供使用。,为完美发挥芽针提取物药物作用而特殊配制的溶液。,
液化息壤,Liquid Xiranite,AIC Products,3,反应池,息壤*1+清水*1,2,1,溶解在清水中的息壤，可用于其他材料合成。常用于灌装后通过射流无人机消除武陵地区的动态侵蚀。,将息壤溶于清水，许多人第一次听到这件事时，会认为它无比简单，但实际上，如果没有恰当的设备与技术，操作者仅能获得毫无意义的产物——如同泡在水中的砂砾。,
液化重息壤,Liquid Heavy Xiranite,AIC Products,3,反应池,重息壤*1+沉积酸*1,2,1,溶解在沉积酸中的重息壤，可用于其他材料合成。常用于灌装后通过射流无人机消除武陵地区的动态侵蚀。,除对抗侵蚀外，探明息壤与其他物质的结合可能性是息壤技术研究的重要方向之一。,
赤铜溶液,Cuprium Solution,AIC Products,3,反应池,赤铜粉末*1+沉积酸*1,2,1,溶解在沉积酸后的溶液，可用于其他材料合成。,“我会想到咱们在北边，在冻土里打出的井。兄弟，我猜那应该是人类在塔卫二打出的第一口井，虽然里面的水不能喝，但至少看起来很漂亮。”,
壤晶废液,Xircon Effluent,AIC Products,3,反应池,液化息壤*1+污水*1,2,1,液化息壤与污水反应后产生的溶液，可用于其他材料合成，或者通过废水处理机进行无害化处理。,壤晶废液是部分失活，剩余部分则过于活性化的液化息壤。液化息壤中的源石成分在应用环节会逐渐失去能量，这种趋于“干涸”的过程偶尔会让息壤内部的巨兽力量进入活跃状态。,
惰性壤晶废液,Inert Xircon Effluent,AIC Products,3,反应池,液化息壤*1+污水*1,2,1,惰性壤晶废液：液化息壤与污水反应后产生的副产物，需要通过废水处理机进行无害化处理。,在应用环节完全耗尽了源石成分中的能量，但内部巨兽力量仅有极小部分进入活跃状态的壤晶废液，其整体已趋于惰性。,
壤晶,Xircon,AIC Products,3,反应池,壤晶废液*2+蓝铁粉末*1,2,1,通过置换获得的晶体沉淀，可用于其他材料合成。,金属的介入完全打破了源石与巨兽力量的平衡，也扰乱了材料本身的物理性质。这让自废液中析出的壤晶拥有了近似宝石的特殊质感。,
赫铜块,Hetonite,AIC Products,3,反应池,赫铜溶液*2+蓝铁粉末*1,2,1,通过置换获得的赫铜块沉淀，可用于其他材料合成。,这种熠熠生辉的新材料寄托了天师们的期待，他们以“赫”名之——相较赤红更为炽盛的色彩，天师们想于其中窥见人类的希望。,
息壤,Xiranite,AIC Products,2,天有洪炉,稳定碳块*2+清水*1,2,1,通过特殊设备获得的材料，可用于特殊设施修复或与据点进行交易。,将源石与巨兽力量结合于一处后诞生出的新型源石材料。它撑起了武陵的万家灯火。,
重息壤,Heavy Xiranite,AIC Products,3,天有洪炉,息壤*10+壤晶废液*5,10,1,通过特殊设备获得的材料，可用于特殊设施修复或与据点进行交易。,重息壤诞生于一次提高息壤产量的实验。天师们将多种状态的息壤混于一处，在多番尝试后，他们实现了一种“动静平衡”。这虽未达到实验的本来目的，但至少稍稍提高了息壤的耐用性。,
